Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1961","1961","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1962","1962","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1963","1963","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1964","1964","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1965","1965","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1966","1966","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1967","1967","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1968","1968","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1969","1969","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1970","1970","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1971","1971","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1972","1972","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1973","1973","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1974","1974","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1975","1975","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1976","1976","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1977","1977","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1978","1978","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1979","1979","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1980","1980","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1981","1981","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1982","1982","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1983","1983","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1984","1984","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1985","1985","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1986","1986","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1987","1987","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1988","1988","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1989","1989","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1990","1990","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1991","1991","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1992","1992","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1993","1993","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1994","1994","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1995","1995","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1996","1996","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1997","1997","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1998","1998","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","1999","1999","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2000","2000","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2001","2001","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2002","2002","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2003","2003","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2004","2004","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2005","2005","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2006","2006","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2007","2007","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2008","2008","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2009","2009","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2010","2010","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2011","2011","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2012","2012","1000 ha","67659","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2013","2013","1000 ha","67659","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2014","2014","1000 ha","67659","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2015","2015","1000 ha","67659","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6600","Country area","2016","2016","1000 ha","67659","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1961","1961","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1962","1962","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1963","1963","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1964","1964","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1965","1965","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1966","1966","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1967","1967","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1968","1968","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1969","1969","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1970","1970","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1971","1971","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1972","1972","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1973","1973","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1974","1974","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1975","1975","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1976","1976","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1977","1977","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1978","1978","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1979","1979","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1980","1980","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1981","1981","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1982","1982","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1983","1983","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1984","1984","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1985","1985","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1986","1986","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1987","1987","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1988","1988","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1989","1989","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1990","1990","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1991","1991","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1992","1992","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1993","1993","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1994","1994","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1995","1995","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1996","1996","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1997","1997","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1998","1998","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","1999","1999","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2000","2000","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2001","2001","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2002","2002","1000 ha","65354","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2003","2003","1000 ha","65354","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2004","2004","1000 ha","65342","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2005","2005","1000 ha","65336","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2006","2006","1000 ha","65347","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2007","2007","1000 ha","65352","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2008","2008","1000 ha","65331","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2009","2009","1000 ha","65330","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2010","2010","1000 ha","65326","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2011","2011","1000 ha","65329","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2012","2012","1000 ha","65315","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2013","2013","1000 ha","65308","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2014","2014","1000 ha","65308","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2015","2015","1000 ha","65308","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2016","2016","1000 ha","65308","Fm","Manual Estimation"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1961","1961","1000 ha","10430","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1962","1962","1000 ha","10470","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1963","1963","1000 ha","10507","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1964","1964","1000 ha","10620","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1965","1965","1000 ha","10583","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1966","1966","1000 ha","10740","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1967","1967","1000 ha","10767","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1968","1968","1000 ha","10768","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1969","1969","1000 ha","10767","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1970","1970","1000 ha","10801","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1971","1971","1000 ha","10805","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1972","1972","1000 ha","10805","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1973","1973","1000 ha","10322","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1974","1974","1000 ha","10333","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1975","1975","1000 ha","10347","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1976","1976","1000 ha","10362","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1977","1977","1000 ha","10356","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1978","1978","1000 ha","10367","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1979","1979","1000 ha","10377","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1980","1980","1000 ha","10385","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1981","1981","1000 ha","10421","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1982","1982","1000 ha","10441","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1983","1983","1000 ha","10438","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1984","1984","1000 ha","10422","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1985","1985","1000 ha","10429","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1986","1986","1000 ha","10435","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1987","1987","1000 ha","10422","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1988","1988","1000 ha","10373","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1989","1989","1000 ha","10395","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1990","1990","1000 ha","10428","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1991","1991","1000 ha","10416","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1992","1992","1000 ha","10398","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1993","1993","1000 ha","10446","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1994","1994","1000 ha","10421","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1995","1995","1000 ha","10450","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1996","1996","1000 ha","10504","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1997","1997","1000 ha","10519","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1998","1998","1000 ha","10513","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","1999","1999","1000 ha","10609","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2000","2000","1000 ha","10812","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2001","2001","1000 ha","10939","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2002","2002","1000 ha","10925","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2003","2003","1000 ha","10982","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2004","2004","1000 ha","11082","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2005","2005","1000 ha","11263","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2006","2006","1000 ha","11597","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2007","2007","1000 ha","11984","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2008","2008","1000 ha","12277","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2009","2009","1000 ha","12441","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2010","2010","1000 ha","12526","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2011","2011","1000 ha","12558","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2012","2012","1000 ha","12549","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2013","2013","1000 ha","12587","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2014","2014","1000 ha","12632","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2015","2015","1000 ha","12749","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6602","Agriculture","2016","2016","1000 ha","12760","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1961","1961","1000 ha","10430","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1962","1962","1000 ha","10470","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1963","1963","1000 ha","10507","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1964","1964","1000 ha","10620","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1965","1965","1000 ha","10583","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1966","1966","1000 ha","10740","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1967","1967","1000 ha","10767","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1968","1968","1000 ha","10768","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1969","1969","1000 ha","10767","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1970","1970","1000 ha","10801","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1971","1971","1000 ha","10805","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1972","1972","1000 ha","10805","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1973","1973","1000 ha","10322","F","FAO estimate"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1974","1974","1000 ha","10333","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1975","1975","1000 ha","10347","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1976","1976","1000 ha","10362","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1977","1977","1000 ha","10356","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1978","1978","1000 ha","10367","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1979","1979","1000 ha","10377","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1980","1980","1000 ha","10385","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1981","1981","1000 ha","10421","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1982","1982","1000 ha","10441","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1983","1983","1000 ha","10438","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1984","1984","1000 ha","10422","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1985","1985","1000 ha","10429","Q","Official data reported on FAO Questionnaires from countries"
