Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","28","Myanmar","5610","Import Quantity","4007","Ammonia, anhydrous","2013","2013","tonnes","13.04","E","Expert sources from FAO (including other divisions)"
"RFB","Fertilizers by Product","28","Myanmar","5610","Import Quantity","4007","Ammonia, anhydrous","2014","2014","tonnes","36.33","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","28","Myanmar","5610","Import Quantity","4007","Ammonia, anhydrous","2015","2015","tonnes","15.31","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","28","Myanmar","5610","Import Quantity","4007","Ammonia, anhydrous","2016","2016","tonnes","6","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","28","Myanmar","5510","Production","4003","Ammonium nitrate (AN)","2003","2003","tonnes","129799","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","28","Myanmar","5610","Import Quantity","4003","Ammonium nitrate (AN)","2004","2004","tonnes","10542","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","28","Myanmar","5610","Import Quantity","4003","Ammonium nitrate (AN)","2005","2005","tonnes","7997","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","28","Myanmar","5610","Import Quantity","4003","Ammonium nitrate (AN)","2006","2006","tonnes","12951","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","28","Myanmar","5610","Import Quantity","4003","Ammonium nitrate (AN)","2008","2008","tonnes","10578","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","28","Myanmar","5610","Import Quantity","4003","Ammonium nitrate (AN)","2009","2009","tonnes","31843","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","28","Myanmar","5610","Import Quantity","4003","Ammonium nitrate (AN)","2010","2010","tonnes","28709","R","Estimated data using trading partners database"
