Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1961","1961","tonnes","67860","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1962","1962","tonnes","126088","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1963","1963","tonnes","99446","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1964","1964","tonnes","82338","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1965","1965","tonnes","79405","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1966","1966","tonnes","90815","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1967","1967","tonnes","94752","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1968","1968","tonnes","82140","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1969","1969","tonnes","68932","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1970","1970","tonnes","67164","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1971","1971","tonnes","77216","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1972","1972","tonnes","79513","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1973","1973","tonnes","80493","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1974","1974","tonnes","79252","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1975","1975","tonnes","76972","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1976","1976","tonnes","75685","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1977","1977","tonnes","79117","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1978","1978","tonnes","83252","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1979","1979","tonnes","100096","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1980","1980","tonnes","144483","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1981","1981","tonnes","140568","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1982","1982","tonnes","135908","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1983","1983","tonnes","180800","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1984","1984","tonnes","186172","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1985","1985","tonnes","170869","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1986","1986","tonnes","159127","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1987","1987","tonnes","134781","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1988","1988","tonnes","120866","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1989","1989","tonnes","122647","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1990","1990","tonnes","125103","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1991","1991","tonnes","124238.602","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1992","1992","tonnes","137188.554","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1993","1993","tonnes","133546.38","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1994","1994","tonnes","166325.946","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1995","1995","tonnes","161469.714","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1996","1996","tonnes","165111.888","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1997","1997","tonnes","160660.342","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1998","1998","tonnes","183322.758","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","1999","1999","tonnes","203557.058","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2000","2000","tonnes","210436.72","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2001","2001","tonnes","250500.634","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2002","2002","tonnes","268306.818","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2003","2003","tonnes","284494.258","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2004","2004","tonnes","292587.978","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2005","2005","tonnes","319297.254","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2006","2006","tonnes","326986.288","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2007","2007","tonnes","345197.158","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2008","2008","tonnes","354909.622","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2009","2009","tonnes","363003.342","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2010","2010","tonnes","388903.246","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2011","2011","tonnes","411565.662","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2012","2012","tonnes","418850.01","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2013","2013","tonnes","439893.682","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2014","2014","tonnes","458105","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2015","2015","tonnes","469840","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2016","2016","tonnes","488098","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1961","1961","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1962","1962","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1963","1963","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1964","1964","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1965","1965","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1966","1966","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1967","1967","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1968","1968","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1969","1969","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1970","1970","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1971","1971","g N20/kg dry matter","0.0001","Fc","Calculated data",""
