"Domain.Code","Domain","Area.Code","Area","Element.Code","Element","Item.Code","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1627,"Wood fuel, coniferous (production)",2009,2009,"m3",0,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1627,"Wood fuel, coniferous (production)",2010,2010,"m3",0,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1627,"Wood fuel, coniferous (production)",2011,2011,"m3",0,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1627,"Wood fuel, coniferous (production)",2012,2012,"m3",0,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1627,"Wood fuel, coniferous (production)",2013,2013,"m3",0,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1627,"Wood fuel, coniferous (production)",2014,2014,"m3",0,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1627,"Wood fuel, coniferous (production)",2015,2015,"m3",0,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1627,"Wood fuel, coniferous (production)",2016,2016,"m3",0,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1627,"Wood fuel, coniferous (production)",2017,2017,"m3",0,"Fp","Previous year"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1961,1961,"m3",9475000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1962,1962,"m3",9674000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1963,1963,"m3",9878000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1964,1964,"m3",10090000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1965,1965,"m3",10312000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1966,1966,"m3",10544000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1967,1967,"m3",10786000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1968,1968,"m3",11037000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1969,1969,"m3",11296000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1970,1970,"m3",11564000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1971,1971,"m3",11839000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1972,1972,"m3",12123000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1973,1973,"m3",12411000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1974,1974,"m3",12701000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1975,1975,"m3",12989000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1976,1976,"m3",13274000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1977,1977,"m3",13558000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1978,1978,"m3",13843000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1979,1979,"m3",14133000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1980,1980,"m3",14431000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1981,1981,"m3",14738000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1982,1982,"m3",15052000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1983,1983,"m3",15372000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1984,1984,"m3",15695000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1985,1985,"m3",16019000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1986,1986,"m3",16345000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1987,1987,"m3",16672000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1988,1988,"m3",16999000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1989,1989,"m3",17324000,"F","FAO estimate"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1990,1990,"m3",32270000,"","Official data"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1991,1991,"m3",32220000,"","Official data"
"FO","Forestry Production and Trade",28,"Myanmar",5516,"Production",1628,"Wood fuel, non-coniferous (production)",1992,1992,"m3",32380000,"","Official data"
