"Area","Element","Item","Year","Unit","Value"
"Myanmar","Production","Wood fuel, non-coniferous (production)",1961,"m3",9475000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1962,"m3",9674000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1963,"m3",9878000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1964,"m3",10090000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1965,"m3",10312000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1966,"m3",10544000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1967,"m3",10786000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1968,"m3",11037000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1969,"m3",11296000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1970,"m3",11564000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1971,"m3",11839000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1972,"m3",12123000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1973,"m3",12411000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1974,"m3",12701000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1975,"m3",12989000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1976,"m3",13274000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1977,"m3",13558000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1978,"m3",13843000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1979,"m3",14133000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1980,"m3",14431000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1981,"m3",14738000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1982,"m3",15052000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1983,"m3",15372000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1984,"m3",15695000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1985,"m3",16019000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1986,"m3",16345000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1987,"m3",16672000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1988,"m3",16999000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1989,"m3",17324000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1990,"m3",32270000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1991,"m3",32220000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1992,"m3",32380000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1993,"m3",32400000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1994,"m3",32480000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1995,"m3",31460000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1996,"m3",31960000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1997,"m3",31497000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1998,"m3",32150000
"Myanmar","Production","Wood fuel, non-coniferous (production)",1999,"m3",34223000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2000,"m3",34471000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2001,"m3",35403000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2002,"m3",34938500
"Myanmar","Production","Wood fuel, non-coniferous (production)",2003,"m3",37953500
"Myanmar","Production","Wood fuel, non-coniferous (production)",2004,"m3",37560000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2005,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2006,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2007,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2008,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2009,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2010,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2011,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2012,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2013,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2014,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2015,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2016,"m3",38286000
"Myanmar","Production","Wood fuel, non-coniferous (production)",2017,"m3",38286000
"Myanmar","Import Quantity","Wood fuel, all species (export/import)",2014,"m3",15
"Myanmar","Import Quantity","Wood fuel, all species (export/import)",2015,"m3",15
"Myanmar","Import Quantity","Wood fuel, all species (export/import)",2016,"m3",1009
"Myanmar","Import Quantity","Wood fuel, all species (export/import)",2017,"m3",1009
"Myanmar","Import Value","Wood fuel, all species (export/import)",2014,"1000 US$",9
"Myanmar","Import Value","Wood fuel, all species (export/import)",2015,"1000 US$",9
