"Area","Year","Element","Item","Unit","Value"
"Myanmar",1961,"Production","Sawlogs and veneer logs, non-coniferous","m3",1600000
"Myanmar",1962,"Production","Sawlogs and veneer logs, non-coniferous","m3",1419000
"Myanmar",1963,"Production","Sawlogs and veneer logs, non-coniferous","m3",1450000
"Myanmar",1964,"Production","Sawlogs and veneer logs, non-coniferous","m3",1480000
"Myanmar",1965,"Production","Sawlogs and veneer logs, non-coniferous","m3",1520000
"Myanmar",1966,"Production","Sawlogs and veneer logs, non-coniferous","m3",1552000
"Myanmar",1967,"Production","Sawlogs and veneer logs, non-coniferous","m3",1817000
"Myanmar",1968,"Production","Sawlogs and veneer logs, non-coniferous","m3",1731000
"Myanmar",1969,"Production","Sawlogs and veneer logs, non-coniferous","m3",1728000
"Myanmar",1970,"Production","Sawlogs and veneer logs, non-coniferous","m3",1737000
"Myanmar",1971,"Production","Sawlogs and veneer logs, non-coniferous","m3",1776000
"Myanmar",1972,"Production","Sawlogs and veneer logs, non-coniferous","m3",1704000
"Myanmar",1973,"Production","Sawlogs and veneer logs, non-coniferous","m3",1793000
"Myanmar",1974,"Production","Sawlogs and veneer logs, non-coniferous","m3",2026000
"Myanmar",1975,"Production","Sawlogs and veneer logs, non-coniferous","m3",1840000
"Myanmar",1976,"Production","Sawlogs and veneer logs, non-coniferous","m3",1909000
"Myanmar",1977,"Production","Sawlogs and veneer logs, non-coniferous","m3",2035000
"Myanmar",1978,"Production","Sawlogs and veneer logs, non-coniferous","m3",2622000
"Myanmar",1979,"Production","Sawlogs and veneer logs, non-coniferous","m3",2751000
"Myanmar",1980,"Production","Sawlogs and veneer logs, non-coniferous","m3",2782000
"Myanmar",1981,"Production","Sawlogs and veneer logs, non-coniferous","m3",2729000
"Myanmar",1982,"Production","Sawlogs and veneer logs, non-coniferous","m3",2775000
"Myanmar",1983,"Production","Sawlogs and veneer logs, non-coniferous","m3",2432000
"Myanmar",1984,"Production","Sawlogs and veneer logs, non-coniferous","m3",1774000
"Myanmar",1985,"Production","Sawlogs and veneer logs, non-coniferous","m3",2070000
"Myanmar",1986,"Production","Sawlogs and veneer logs, non-coniferous","m3",2027000
"Myanmar",1987,"Production","Sawlogs and veneer logs, non-coniferous","m3",1883000
"Myanmar",1988,"Production","Sawlogs and veneer logs, non-coniferous","m3",1762000
"Myanmar",1989,"Production","Sawlogs and veneer logs, non-coniferous","m3",1859000
"Myanmar",1990,"Production","Sawlogs and veneer logs, non-coniferous","m3",2413000
"Myanmar",1991,"Production","Sawlogs and veneer logs, non-coniferous","m3",2783000
"Myanmar",1992,"Production","Sawlogs and veneer logs, non-coniferous","m3",2791000
"Myanmar",1993,"Production","Sawlogs and veneer logs, non-coniferous","m3",2004000
"Myanmar",1994,"Production","Sawlogs and veneer logs, non-coniferous","m3",1388000
"Myanmar",1995,"Production","Sawlogs and veneer logs, non-coniferous","m3",1523000
"Myanmar",1996,"Production","Sawlogs and veneer logs, non-coniferous","m3",1686000
"Myanmar",1997,"Production","Sawlogs and veneer logs, non-coniferous","m3",1989000
"Myanmar",1998,"Production","Sawlogs and veneer logs, non-coniferous","m3",2110000
"Myanmar",1999,"Production","Sawlogs and veneer logs, non-coniferous","m3",2085000
"Myanmar",2000,"Production","Sawlogs and veneer logs, non-coniferous","m3",2337000
"Myanmar",2001,"Production","Sawlogs and veneer logs, non-coniferous","m3",2662000
"Myanmar",2002,"Production","Sawlogs and veneer logs, non-coniferous","m3",2612500
"Myanmar",2003,"Production","Sawlogs and veneer logs, non-coniferous","m3",2884700
"Myanmar",2004,"Production","Sawlogs and veneer logs, non-coniferous","m3",2815900
"Myanmar",2005,"Production","Sawlogs and veneer logs, non-coniferous","m3",2849000
"Myanmar",2006,"Production","Sawlogs and veneer logs, non-coniferous","m3",2849000
"Myanmar",2007,"Production","Sawlogs and veneer logs, non-coniferous","m3",2849000
"Myanmar",2008,"Production","Sawlogs and veneer logs, non-coniferous","m3",2849000
"Myanmar",2009,"Production","Sawlogs and veneer logs, non-coniferous","m3",2849000
"Myanmar",2010,"Production","Sawlogs and veneer logs, non-coniferous","m3",2758000
"Myanmar",2011,"Production","Sawlogs and veneer logs, non-coniferous","m3",3134000
"Myanmar",2012,"Production","Sawlogs and veneer logs, non-coniferous","m3",3349000
"Myanmar",2013,"Production","Sawlogs and veneer logs, non-coniferous","m3",2909000
"Myanmar",2014,"Production","Sawlogs and veneer logs, non-coniferous","m3",4200000
"Myanmar",2015,"Production","Sawlogs and veneer logs, non-coniferous","m3",4200000
"Myanmar",2016,"Production","Sawlogs and veneer logs, non-coniferous","m3",4200000
